Price,Area,Bedrooms,Bathrooms,Stories,Mainroad,Guestroom,Basement,Hot water
13300000,7420,4,2,3,yes,no,no,no
12250000,8960,4,4,4,yes,no,no,no
12250000,9960,3,2,2,yes,no,yes,no
12215000,7500,4,2,2,yes,no,yes,no
11410000,7420,4,1,2,yes,yes,yes,no
10850000,7500,3,3,1,yes,no,yes,no
10150000,8580,4,3,4,yes,no,no,no
10150000,16200,5,3,2,yes,no,no,no
9870000,8100,4,1,2,yes,yes,yes,no
9800000,5750,3,2,4,yes,yes,no,no
9800000,13200,3,1,2,yes,no,yes,no
9681000,6000,4,3,2,yes,yes,yes,yes
9310000,6550,4,2,2,yes,no,no,no
9240000,3500,4,2,2,yes,no,no,yes
9240000,7800,3,2,2,yes,no,no,no
9100000,6000,4,1,2,yes,no,yes,no
9100000,6600,4,2,2,yes,yes,yes,no
8960000,8500,3,2,4,yes,no,no,no
8890000,4600,3,2,2,yes,yes,no,no
8855000,6420,3,2,2,yes,no,no,no
8750000,4320,3,1,2,yes,no,yes,yes
8680000,7155,3,2,1,yes,yes,yes,no
8645000,8050,3,1,1,yes,yes,yes,no
